id,number,started_at,manufactured_at,line,SMMainGroup,product_group,product_material,felt_speed,revs,scrap_rate,sheets,cosmos_flow_inlet,cosmos_flow_outlet,cosmos_flow_diff,cosmos_solids,cosmos_feed_age,tread_roll_pressure,tread_roll_left_nip_pressure,tread_roll_right_nip_pressure,feed_age,cement_batch_setpoint,silica_batch_setpoint,pulp_batch_setpoint,spheres_batch_setpoint,cement_batch_error,silica_batch_error,pulp_batch_error,additive_1_batch_setpoint,additive_1_batch_error,greensheet_test_moisture,agipulper_flow_rate,sludge_rec_flow,machine_cone_1_underflow,cosmos_coat_weight,cosmos_coat_weight_set_point,agipulper_percent_solids,main_vac,innertub_1_5,inner_tub_6_9,flocculent_flow,pulp_freeness,pulp_consistency,silica_sa,silica_40micron,lda_filtration_time,lda_bulk_density,lda_solids,cosmos_cement_sp,cosmos_cement_error,cosmos_silica_sp,cosmos_silica_error,feed_temperature,machine_cone_solids,mor,mor_filled,mor_in_spec,ilb,ilb_filled,ilb_in_spec,cosmos_fracture
387913,690349,11/30/2018 5:45,11/30/2018 6:15,SM2,2005557,Batten,"4/4\RusticBattensD15""",306.87,7,6,42,98.5761,83.6272,14.9488,26.4015,9.5533,33.143,32.0529,34.2331,13.804,882,736,6105,230,-0.789,0.4041,0.4441,42,-0.2593,,676.372,29.5905,955.772,9.9169,10,18.7212,74.3305,40,55,13.6094,395.33,3.907,362.535,85,29,238.351,7.24,370,5.7709,247,-0.4171,108.603,10.7119,,12.223,1,,1.8075,1,86
387914,690350,11/30/2018 5:45,11/30/2018 6:15,SM2,2005557,Batten,"4/4\RusticBattensD15""",306.87,7,6,42,98.5761,83.6272,14.9488,26.4015,9.5533,33.143,32.0529,34.2331,13.804,882,736,6105,230,-0.789,0.4041,0.4441,42,-0.2593,,676.372,29.5905,955.772,9.9169,10,18.7212,74.3305,40,55,13.6094,395.33,3.907,362.535,85,29,238.351,7.24,370,5.7709,247,-0.4171,108.603,10.7119,,12.223,1,,1.8075,1,86
387915,485789,11/30/2018 5:56,11/30/2018 6:21,SM1,2000015,Backer,G2BackerA5,367.458,5,4,72,80.8772,75.8382,13.215,21.3248,11.7572,32.6143,32.1583,33.0703,7.8218,568,1122,3774,1571,-0.226,-9.4283,16.7875,60,-1,,278.301,23.6714,773.674,6.4809,6.5,22.4135,0,0,0,14.5271,395.33,3.907,362.535,85,29,238.351,7.24,370,4.2714,247,0.2813,115.041,0,,7.7005,1,,1.4825,1,74
387916,485790,11/30/2018 5:56,11/30/2018 6:21,SM1,2000015,Backer,G2BackerA5,367.458,5,4,72,80.8772,75.8382,13.215,21.3248,11.7572,32.6143,32.1583,33.0703,7.8218,568,1122,3774,1571,-0.226,-9.4283,16.7875,60,-1,,278.301,23.6714,773.674,6.4809,6.5,22.4135,0,0,0,14.5271,395.33,3.907,362.535,85,29,238.351,7.24,370,4.2714,247,0.2813,115.041,0,,7.7005,1,,1.4825,1,74
387917,485791,11/30/2018 6:21,11/30/2018 6:45,SM1,2000015,Backer,G2BackerA5,364.765,5,0,72,84.8324,53.1868,13.1394,21.3984,14.077,32.62615,32.1728,33.0795,7.7165,568,1122,3748.5,1571,-0.8018,-9.1351,23.6421,60,-1,,279.999,19.6718,774.696,6.5372,6.5,22.2592,0,0,0,14.5371,395.33,3.907,362.535,85,29,238.351,7.24,370,4.0171,247,0.7912,115.015,0,,7.7005,1,,1.4825,1,74
387918,485792,11/30/2018 6:21,11/30/2018 6:45,SM1,2000015,Backer,G2BackerA5,364.765,5,0,72,84.8324,53.1868,13.1394,21.3984,14.077,32.62615,32.1728,33.0795,7.7165,568,1122,3748.5,1571,-0.8018,-9.1351,23.6421,60,-1,,279.999,19.6718,774.696,6.5372,6.5,22.2592,0,0,0,14.5371,395.33,3.907,362.535,85,29,238.351,7.24,370,4.0171,247,0.7912,115.015,0,,7.7005,1,,1.4825,1,74
387919,690351,11/30/2018 6:21,11/30/2018 7:03,SM2,2005557,Batten,"4/4\RusticBattensD15""",308.479,7,16,14,97.4965,82.3209,15.1756,26.401,17.3199,33.1264,32.0587,34.1941,13.7428,857,821.5,5911.33,220,-0.1779,-0.1173,6.8926,42.1511,-0.6133,,516.253,24.8712,1029.67,10.0129,10,22.6126,95,40,55,13.5925,395.33,3.907,362.535,85,29,238.351,7.24,370,4.8025,247,1.1971,108.903,10.5614,,12.223,1,,1.8075,1,86
387920,690352,11/30/2018 6:21,11/30/2018 7:03,SM2,2005557,Batten,"4/4\RusticBattensD15""",308.479,7,16,14,97.4965,82.3209,15.1756,26.401,17.3199,33.1264,32.0587,34.1941,13.7428,857,821.5,5911.33,220,-0.1779,-0.1173,6.8926,42.1511,-0.6133,,516.253,24.8712,1029.67,10.0129,10,22.6126,95,40,55,13.5925,395.33,3.907,362.535,85,29,238.351,7.24,370,4.8025,247,1.1971,108.903,10.5614,10.87,10.87,1,1.714,1.714,1,54
387921,485793,11/30/2018 6:46,11/30/2018 7:10,SM1,2000015,Backer,G2BackerA5,361.758,5,6,72,87.1451,-0.0304,12.8115,21.7405,8.4152,32.6463,32.2003,33.0923,7.7327,568,1122,3723,1571,0.4941,-8.9848,24.2623,60,-1,,283.679,23.9743,765.106,6.5091,6.5,22.3888,0,0,0,14.5524,395.33,3.907,362.535,85,29,238.351,7.24,370,4.3447,247,-0.9201,115.053,0,,7.7005,1,,1.4825,1,74
387922,485794,11/30/2018 6:46,11/30/2018 7:10,SM1,2000015,Backer,G2BackerA5,361.758,5,6,72,87.1451,-0.0304,12.8115,21.7405,8.4152,32.6463,32.2003,33.0923,7.7327,568,1122,3723,1571,0.4941,-8.9848,24.2623,60,-1,,283.679,23.9743,765.106,6.5091,6.5,22.3888,0,0,0,14.5524,395.33,3.907,362.535,85,29,238.351,7.24,370,4.3447,247,-0.9201,115.053,0,,7.7005,1,,1.4825,1,74
387923,485795,11/30/2018 7:11,11/30/2018 7:35,SM1,2000015,Backer,G2BackerA5,361.577,5,0,73,85.8985,-0.0347,12.587,21.7531,12.7794,32.6662,32.2224,33.11,7.365,568,1122,3723,1571,-0.3666,-8.9604,16.4905,60,-1,,277.08,19.5284,772.364,6.4156,6.5,22.3207,0,0,0,14.5262,395.33,3.907,362.535,85,22,256.305,7.11,370,5,247,0.441,115.014,0,7.2465,7.2465,1,1.693,1.693,1,80
387924,485796,11/30/2018 7:11,11/30/2018 7:35,SM1,2000015,Backer,G2BackerA5,361.577,5,0,73,85.8985,-0.0347,12.587,21.7531,12.7794,32.6662,32.2224,33.11,7.365,568,1122,3723,1571,-0.3666,-8.9604,16.4905,60,-1,,277.08,19.5284,772.364,6.4156,6.5,22.3207,0,0,0,14.5262,395.33,3.907,362.535,85,22,256.305,7.11,370,5,247,0.441,115.014,0,,7.2465,1,,1.693,1,80
387925,485797,11/30/2018 7:35,11/30/2018 8:00,SM1,2000015,Backer,G2BackerA5,361.604,5,4,72,81.4244,56.7225,12.8541,21.6215,13.0619,32.67895,32.2377,33.1202,7.3689,568,1122,3723,1571,-0.122,-9.2627,21.1864,60,-1,47.07,279.762,20.4731,783.075,6.5035,6.5,22.3144,0,0,0,14.5102,395.33,3.907,362.535,85,22,256.305,7.11,370,5,247,0.1551,114.949,0,,7.2465,1,,1.693,1,80
387926,485798,11/30/2018 7:35,11/30/2018 8:00,SM1,2000015,Backer,G2BackerA5,361.604,5,4,72,81.4244,56.7225,12.8541,21.6215,13.0619,32.67895,32.2377,33.1202,7.3689,568,1122,3723,1571,-0.122,-9.2627,21.1864,60,-1,,279.762,20.4731,783.075,6.5035,6.5,22.3144,0,0,0,14.5102,395.33,3.907,362.535,85,22,256.305,7.11,370,5,247,0.1551,114.949,0,,7.2465,1,,1.693,1,80
387929,485799,11/30/2018 8:00,11/30/2018 8:24,SM1,2000015,Backer,G2BackerA5,361.562,5,0,72,82.9255,35.323,12.7836,21.7237,13.9521,32.6877,32.2463,33.1291,7.3577,568,1122,3723,1571,-0.1338,-9.1149,18.9691,60,-1,,278.836,23.0584,773.665,6.5072,6.5,22.3128,0,0,0,14.5177,395.33,3.907,362.535,85,22,256.305,7.11,370,3,247,0.5731,115.033,0,,7.2465,1,,1.693,1,80
387930,485800,11/30/2018 8:00,11/30/2018 8:24,SM1,2000015,Backer,G2BackerA5,361.562,5,0,72,82.9255,35.323,12.7836,21.7237,13.9521,32.6877,32.2463,33.1291,7.3577,568,1122,3723,1571,-0.1338,-9.1149,18.9691,60,-1,,278.836,23.0584,773.665,6.5072,6.5,22.3128,0,0,0,14.5177,395.33,3.907,362.535,85,22,256.305,7.11,370,3,247,0.5731,115.033,0,,7.2465,1,,1.693,1,80
387927,690353,11/30/2018 7:49,11/30/2018 8:44,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,305.611,7,64,4,75.9921,65.9522,10.4746,24.0086,30.8159,33.2022,32.1542,34.2502,44.3812,832,887,5613,230,19.7238,-57.6695,137.497,44,-0.6565,,627.433,25.3182,966.363,6.9989,10,21.0066,92.345,65.2955,90.5756,13.6366,411.347,3.965,362.535,85,22,256.305,7.11,370,4.1642,247,-0.1843,106.103,11.3426,10.578,10.578,1,1.8975,1.8975,1,72
387928,690354,11/30/2018 7:49,11/30/2018 8:44,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,305.611,7,64,4,75.9921,65.9522,10.4746,24.0086,30.8159,33.2022,32.1542,34.2502,44.3812,832,887,5613,230,19.7238,-57.6695,137.497,44,-0.6565,,627.433,25.3182,966.363,6.9989,10,21.0066,92.345,65.2955,90.5756,13.6366,411.347,3.965,362.535,85,22,256.305,7.11,370,4.1642,247,-0.1843,106.103,11.3426,,10.578,1,,1.8975,1,72
387931,485801,11/30/2018 8:25,11/30/2018 8:57,SM1,2000015,Backer,G2BackerA5,358.83,5,6,72,48.0791,59.274,7.2643,21.1126,21.663,32.67055,32.2271,33.114,8.2333,568,1122,3694,1571,-0.1897,-9.0697,14.409,60,-1,,274.202,20.264,781.871,3.6413,6.5,22.356,0,0,0,14.5158,411.347,3.965,362.535,85,22,256.305,7.11,370,4.5537,247,-0.3428,114.322,0,,7.2465,1,,1.693,1,80
387932,485802,11/30/2018 8:25,11/30/2018 8:57,SM1,2000015,Backer,G2BackerA5,358.83,5,6,72,48.0791,59.274,7.2643,21.1126,21.663,32.67055,32.2271,33.114,8.2333,568,1122,3694,1571,-0.1897,-9.0697,14.409,60,-1,,274.202,20.264,781.871,3.6413,6.5,22.356,0,0,0,14.5158,411.347,3.965,362.535,85,22,256.305,7.11,370,4.5537,247,-0.3428,114.322,0,,7.2465,1,,1.693,1,80
387933,690355,11/30/2018 8:46,11/30/2018 9:18,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,295.248,7,6,21,101.218,87.0435,14.1746,26.4017,16.045,33.24365,32.1888,34.2985,21.9445,832,887,5597,230,2.1147,0.5245,6.8312,44,-0.8505,,678.282,24.8144,863.18,9.7792,10,18.9185,75.5068,56.8266,87.4324,13.6464,411.347,3.965,362.535,85,22,256.305,7.11,370,5,247,-1.163,107.898,11.4531,,10.578,1,,1.8975,1,72
387934,690356,11/30/2018 8:46,11/30/2018 9:18,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,295.248,7,6,21,101.218,87.0435,14.1746,26.4017,16.045,33.24365,32.1888,34.2985,21.9445,832,887,5597,230,2.1147,0.5245,6.8312,44,-0.8505,,678.282,24.8144,863.18,9.7792,10,18.9185,75.5068,56.8266,87.4324,13.6464,411.347,3.965,362.535,85,22,256.305,7.11,370,5,247,-1.163,107.898,11.4531,,10.578,1,,1.8975,1,72
387935,485803,11/30/2018 8:57,11/30/2018 9:23,SM1,2000015,Backer,G2BackerA5,351.438,5,2,74,86.7143,36.8398,13.0478,20.5886,12.9827,32.59545,32.1355,33.0554,8.8575,568,1122,3665,1571,0.0294,-8.9233,17.2088,60,-1.3148,,271.751,23.2375,791.064,6.4708,6.5,22.3097,0,0,0,14.5465,411.347,3.965,362.535,85,22,256.305,7.11,370,3,247,0.1964,115.222,0,,7.2465,1,,1.693,1,80
387936,485804,11/30/2018 8:57,11/30/2018 9:23,SM1,2000015,Backer,G2BackerA5,351.438,5,2,74,86.7143,36.8398,13.0478,20.5886,12.9827,32.59545,32.1355,33.0554,8.8575,568,1122,3665,1571,0.0294,-8.9233,17.2088,60,-1.3148,,271.751,23.2375,791.064,6.4708,6.5,22.3097,0,0,0,14.5465,411.347,3.965,362.535,85,22,256.305,7.11,370,3,247,0.1964,115.222,0,,7.2465,1,,1.693,1,80
387937,690355,11/30/2018 9:19,11/30/2018 9:33,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,319.071,7,12,22,98.5981,82.9322,15.6659,26.402,12.1622,33.21395,32.1654,34.2625,15.8989,832,887,5597,230,0.1772,1.0811,-1.997,44,-0.5946,,634.841,25.0244,779.023,9.9987,10,21.1298,85,65,85,13.6369,411.347,3.965,362.535,85,22,256.305,7.11,370,3.6221,247,0.705,110.792,11.8026,,10.578,1,,1.8975,1,72
387938,690356,11/30/2018 9:19,11/30/2018 9:33,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,319.071,7,12,22,98.5981,82.9322,15.6659,26.402,12.1622,33.21395,32.1654,34.2625,15.8989,832,887,5597,230,0.1772,1.0811,-1.997,44,-0.5946,,634.841,25.0244,779.023,9.9987,10,21.1298,85,65,85,13.6369,411.347,3.965,362.535,85,22,256.305,7.11,370,3.6221,247,0.705,110.792,11.8026,,10.578,1,,1.8975,1,72
387939,485805,11/30/2018 9:23,11/30/2018 9:49,SM1,2000015,Backer,G2BackerA5,352.217,5,6,72,84.5082,85.6789,12.8453,21.0739,13.926,32.57345,32.1143,33.0326,7.7272,568,1122,3665,1571,-0.0305,-8.9936,17.3473,60,-1.1833,,272.752,19.8486,806.532,6.505,6.5,22.2298,0,0,0,14.4978,411.347,3.965,362.535,85,19,237.835,7.37,370,6.654,247,-0.2983,115.008,0,,7.2465,1,,1.693,1,80
387940,485806,11/30/2018 9:23,11/30/2018 9:49,SM1,2000015,Backer,G2BackerA5,352.217,5,6,72,84.5082,85.6789,12.8453,21.0739,13.926,32.57345,32.1143,33.0326,7.7272,568,1122,3665,1571,-0.0305,-8.9936,17.3473,60,-1.1833,,272.752,19.8486,806.532,6.505,6.5,22.2298,0,0,0,14.4978,411.347,3.965,362.535,85,19,237.835,7.37,370,6.654,247,-0.2983,115.008,0,,7.2465,1,,1.693,1,80
387941,690355,11/30/2018 9:34,11/30/2018 9:53,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,328.897,7,0,38,103.216,87.0419,16.1735,26.402,11.0053,33.1954,32.1466,34.2442,12.0567,832,887,5597,230,0.4589,-0.7874,-0.9768,44,0.2147,,695.705,25.7355,926.313,10.0167,10,18.0567,85,65,85,13.5974,403.118,3.651,362.535,85,19,237.835,7.37,370,6.7692,247,-1.1323,110.829,11.2843,,10.578,1,,1.8975,1,72
387942,690356,11/30/2018 9:34,11/30/2018 9:53,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,328.897,7,0,38,103.216,87.0419,16.1735,26.402,11.0053,33.1954,32.1466,34.2442,12.0567,832,887,5597,230,0.4589,-0.7874,-0.9768,44,0.2147,,695.705,25.7355,926.313,10.0167,10,18.0567,85,65,85,13.5974,403.118,3.651,362.535,85,19,237.835,7.37,370,6.7692,247,-1.1323,110.829,11.2843,,10.578,1,,1.8975,1,72
387945,690357,11/30/2018 9:54,11/30/2018 10:12,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,325.692,7,0,35,98.3321,82.4355,15.9573,26.4018,9.4924,33.18135,32.1369,34.2258,10.1981,832,887,5621,230,1.2436,0.3619,-11.6056,44,0.2923,,663.711,30.4377,1091.94,9.9671,10,17.1942,85,65,85,13.6216,403.118,3.651,338.713,74.4,19,237.835,7.37,370,1.9828,247,-0.3564,109.529,10.9357,,10.578,1,,1.8975,1,72
387946,690358,11/30/2018 9:54,11/30/2018 10:12,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,325.692,7,0,35,98.3321,82.4355,15.9573,26.4018,9.4924,33.18135,32.1369,34.2258,10.1981,832,887,5621,230,1.2436,0.3619,-11.6056,44,0.2923,,663.711,30.4377,1091.94,9.9671,10,17.1942,85,65,85,13.6216,403.118,3.651,338.713,74.4,19,237.835,7.37,370,1.9828,247,-0.3564,109.529,10.9357,,10.578,1,,1.8975,1,72
387943,485807,11/30/2018 9:49,11/30/2018 10:21,SM1,2000015,Backer,G2BackerA5,351.907,5,6,72,86.3414,83.9682,13.0359,20.6975,11.2363,32.57575,32.1124,33.0391,9.388,568,1122,3684.5,1571,0.483,-8.7029,9.9699,60,-1.1558,,274.114,20.0247,801.978,6.4125,6.5,22.5289,0,0,0,14.4841,403.118,3.651,338.713,74.4,19,237.835,7.37,370,4.6294,247,0.3697,114.762,0,,7.2465,1,,1.693,1,80
387944,485808,11/30/2018 9:49,11/30/2018 10:21,SM1,2000015,Backer,G2BackerA5,351.907,5,6,72,86.3414,83.9682,13.0359,20.6975,11.2363,32.57575,32.1124,33.0391,9.388,568,1122,3684.5,1571,0.483,-8.7029,9.9699,60,-1.1558,,274.114,20.0247,801.978,6.4125,6.5,22.5289,0,0,0,14.4841,403.118,3.651,338.713,74.4,19,237.835,7.37,370,4.6294,247,0.3697,114.762,0,6.9175,6.9175,1,1.1405,1.1405,1,80
387947,690359,11/30/2018 10:12,11/30/2018 10:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,321.167,7,0,36,100.679,84.8977,15.7809,26.402,12.1393,33.169,32.1247,34.2133,9.0134,832,887,5645,230,-1.4539,-0.057,-3.0197,44,-0.2588,,655.492,25.241,1176.97,10.0125,10,17.1538,78.1669,65,85,13.6819,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4.8051,247,-0.8712,110.335,10.7342,,10.578,1,,1.8975,1,72
387948,690360,11/30/2018 10:12,11/30/2018 10:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,321.167,7,0,36,100.679,84.8977,15.7809,26.402,12.1393,33.169,32.1247,34.2133,9.0134,832,887,5645,230,-1.4539,-0.057,-3.0197,44,-0.2588,,655.492,25.241,1176.97,10.0125,10,17.1538,78.1669,65,85,13.6819,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4.8051,247,-0.8712,110.335,10.7342,,10.578,1,,1.8975,1,72
387949,485809,11/30/2018 10:22,11/30/2018 10:46,SM1,2000015,Backer,G2BackerA5,352.34,5,0,72,89.116,88.223,12.3871,21.787,17.3122,32.5878,32.1246,33.051,7.9021,568,1122,3704,1571,-1.3822,-8.9613,13.0623,60,-1.138,,272.745,18.6653,813.121,6.4971,6.5,22.1884,0,0,0,14.5054,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4,247,-0.3376,114.89,0,,6.9175,1,,1.1405,1,80
387950,485810,11/30/2018 10:22,11/30/2018 10:46,SM1,2000015,Backer,G2BackerA5,352.34,5,0,72,89.116,88.223,12.3871,21.787,17.3122,32.5878,32.1246,33.051,7.9021,568,1122,3704,1571,-1.3822,-8.9613,13.0623,60,-1.138,,272.745,18.6653,813.121,6.4971,6.5,22.1884,0,0,0,14.5054,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4,247,-0.3376,114.89,0,,6.9175,1,,1.1405,1,80
387951,690361,11/30/2018 10:32,11/30/2018 10:52,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,316.607,7,0,37,105.707,90.1328,15.5743,26.4019,8.3633,33.16165,32.1319,34.1914,9.0858,832,887,5645,230,0.2866,0.552,-4.1423,44,0,65.1,662.018,24.9593,1225.9,10.0081,10,17.1635,65,65,85,13.6461,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4,247,-0.5384,110.584,10.5476,,10.578,1,,1.8975,1,72
387952,690362,11/30/2018 10:32,11/30/2018 10:52,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,316.607,7,0,37,105.707,90.1328,15.5743,26.4019,8.3633,33.16165,32.1319,34.1914,9.0858,832,887,5645,230,0.2866,0.552,-4.1423,44,0,,662.018,24.9593,1225.9,10.0081,10,17.1635,65,65,85,13.6461,403.118,3.651,338.713,74.4,21,238.518,7.22,370,4,247,-0.5384,110.584,10.5476,,10.578,1,,1.8975,1,72
387953,690363,11/30/2018 10:52,11/30/2018 11:12,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,315.44,7,2,36,106.384,90.8753,15.5082,26.402,11.0487,33.1743,32.1521,34.1965,8.7927,832,887,5645,230,-0.7966,-0.0278,-5.0749,44,-0.1285,,655.319,30.4459,1241.22,10.0078,10,17.156,61.8727,58.7328,85,13.6771,403.118,3.651,338.713,74.4,21,238.518,7.22,370,2.7739,247,-0.6847,110.614,10.4904,,10.578,1,,1.8975,1,72
387954,690364,11/30/2018 10:52,11/30/2018 11:12,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,315.44,7,2,36,106.384,90.8753,15.5082,26.402,11.0487,33.1743,32.1521,34.1965,8.7927,832,887,5645,230,-0.7966,-0.0278,-5.0749,44,-0.1285,,655.319,30.4459,1241.22,10.0078,10,17.156,61.8727,58.7328,85,13.6771,403.118,3.651,338.713,74.4,21,238.518,7.22,370,2.7739,247,-0.6847,110.614,10.4904,,10.578,1,,1.8975,1,72
387955,690365,11/30/2018 11:12,11/30/2018 11:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,313.084,7,0,36,106.294,90.8997,15.3946,26.4016,10,33.1966,32.172,34.2212,8.5445,832,887,5669.5,230,0.8421,0.6404,-0.3969,44,0,,653.873,27.6595,1205.24,10.0098,10,17.1738,55,45,85,13.7295,403.118,3.651,338.713,74.4,21,238.518,7.22,370,3.85,247,-0.5919,110.691,10.6081,,10.578,1,,1.8975,1,72
387956,690366,11/30/2018 11:12,11/30/2018 11:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,313.084,7,0,36,106.294,90.8997,15.3946,26.4016,10,33.1966,32.172,34.2212,8.5445,832,887,5669.5,230,0.8421,0.6404,-0.3969,44,0,,653.873,27.6595,1205.24,10.0098,10,17.1738,55,45,85,13.7295,403.118,3.651,338.713,74.4,21,238.518,7.22,370,3.85,247,-0.5919,110.691,10.6081,,10.578,1,,1.8975,1,72
387957,690367,11/30/2018 11:32,11/30/2018 11:51,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,313.848,7,0,36,102.789,87.7034,15.2946,26.4017,12.1314,33.20425,32.1772,34.2313,8.2993,832,887,5694,230,0.5267,0.1812,-1.3731,44,0,,662.212,26.4234,1087.34,9.9168,10,17.1606,55,45,85,13.7016,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5.6157,247,0.204,111.001,10.8369,11.152,11.152,1,2.0065,2.0065,1,88
387958,690368,11/30/2018 11:32,11/30/2018 11:51,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,313.848,7,0,36,102.789,87.7034,15.2946,26.4017,12.1314,33.20425,32.1772,34.2313,8.2993,832,887,5694,230,0.5267,0.1812,-1.3731,44,0,,662.212,26.4234,1087.34,9.9168,10,17.1606,55,45,85,13.7016,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5.6157,247,0.204,111.001,10.8369,,11.152,1,,2.0065,1,88
387959,690369,11/30/2018 11:52,11/30/2018 12:11,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,314.286,7,0,37,103.614,88.1764,15.4373,26.4016,10.4218,33.2156,32.1859,34.2453,8.296,832,887,5694,230,0.7347,0.0884,0.1432,44,0.12,65,658.935,32.1724,1061.8,9.9985,10,17.1803,55,45,85,13.6807,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5.3983,247,-0.0327,111.188,10.8371,,11.152,1,,2.0065,1,88
387960,690370,11/30/2018 11:52,11/30/2018 12:11,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,314.286,7,0,37,103.614,88.1764,15.4373,26.4016,10.4218,33.2156,32.1859,34.2453,8.296,832,887,5694,230,0.7347,0.0884,0.1432,44,0.12,,658.935,32.1724,1061.8,9.9985,10,17.1803,55,45,85,13.6807,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5.3983,247,-0.0327,111.188,10.8371,,11.152,1,,2.0065,1,88
387961,690371,11/30/2018 12:12,11/30/2018 12:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.195,7,2,36,99.5216,83.7924,15.7292,26.4016,13.0302,33.22085,32.1839,34.2578,8.3771,832,887,5694,230,-0.5336,-0.115,-2.3666,44,0.0607,,656.89,25.5622,1067.91,9.9985,10,17.1791,55,45,85,13.6886,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5,247,0.802,110.835,10.8449,,11.152,1,,2.0065,1,88
387962,690372,11/30/2018 12:12,11/30/2018 12:31,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.195,7,2,36,99.5216,83.7924,15.7292,26.4016,13.0302,33.22085,32.1839,34.2578,8.3771,832,887,5694,230,-0.5336,-0.115,-2.3666,44,0.0607,,656.89,25.5622,1067.91,9.9985,10,17.1791,55,45,85,13.6886,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5,247,0.802,110.835,10.8449,,11.152,1,,2.0065,1,88
387963,690373,11/30/2018 12:32,11/30/2018 12:53,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.292,7,8,36,100.875,85.1478,15.7271,26.4014,10.7705,33.2281,32.184,34.2722,8.304,832,887,5694,230,-0.4608,0.2745,0.2157,44,0,,658.824,24.9795,1072.55,9.9957,10,17.4282,54.1974,45,85,13.655,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5,247,-0.4207,110.813,10.8259,,11.152,1,,2.0065,1,88
387964,690374,11/30/2018 12:32,11/30/2018 12:53,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.292,7,8,36,100.875,85.1478,15.7271,26.4014,10.7705,33.2281,32.184,34.2722,8.304,832,887,5694,230,-0.4608,0.2745,0.2157,44,0,,658.824,24.9795,1072.55,9.9957,10,17.4282,54.1974,45,85,13.655,403.118,3.651,338.713,74.4,21,238.518,7.22,370,5,247,-0.4207,110.813,10.8259,,11.152,1,,2.0065,1,88
387965,690375,11/30/2018 12:53,11/30/2018 13:13,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.245,7,6,35,100.919,85.0762,15.7509,26.4014,9.3134,33.21575,32.1648,34.2667,9.264,832,887,5735.5,230,0.6426,-0.0764,0.3058,44,0.1136,65.01,674.787,33.1617,1096.39,10.0119,10,17.2521,50,45,85,13.6735,403.118,3.651,338.713,74.4,21,238.518,7.22,370,3.7811,247,0.247,110.155,10.8411,,11.152,1,,2.0065,1,88
387966,690376,11/30/2018 12:53,11/30/2018 13:13,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.245,7,6,35,100.919,85.0762,15.7509,26.4014,9.3134,33.21575,32.1648,34.2667,9.264,832,887,5735.5,230,0.6426,-0.0764,0.3058,44,0.1136,,674.787,33.1617,1096.39,10.0119,10,17.2521,50,45,85,13.6735,403.118,3.651,338.713,74.4,21,238.518,7.22,370,3.7811,247,0.247,110.155,10.8411,,11.152,1,,2.0065,1,88
387967,690377,11/30/2018 13:14,11/30/2018 13:33,SM2,2007104,4/4Trim,4/4RusticGrainTrimD16,320.214,7,0,37,98.8398,83.1199,15.7199,26.4013,13.1235,33.2069,32.1502,34.2636,8.5286,832,887,5777,230,-0.5567,-0.6124,-0.0664,44,-0.045,,657.285,26.7823,1061.8,9.9931,10,17.1556,50,45,85,13.4991,403.118,3.651,338.713,74.4,21,238.518,7.22,370,3.5991,247,-0.3557,109.388,10.9078,,11.152,1,,2.0065,1,88
